51.9461	33.6516	
147.518	46.1021	
169.596	33.1177	
225.781	60.995	
244.995	98.4785	
189.468	89.695	
126.24	89.6588	
78.4616	84.641	
65.0077	124.81	
121.699	121.3	
190.545	110.665	
255.408	108.846	
263.601	144.167	
188.148	143.003	
122.407	133.178	
82.8095	138.314	
40.8499	121.203	
51.5887	160.288	
109.15	169.086	
170.915	168.324	
230.607	177.009	
267.193	175.977	
182.019	187.464	
126.24	167.361	
74.8583	162.055	
56.3675	155.573	
38.5833	106.222	
118.542	135.681	
170.925	137.457	
223.932	130.805	
266.196	111.59	
244.613	77.4132	
172.171	75.0524	
100.271	99.9239	
59.86	109.493	
58.7734	59.182	
114.349	54.6375	
177.483	43.2937	
243.638	34.7199	
